total_duration,duration_postive,duration_neutral,duration_negative,percentage_positive,percentage_neutral,percentage_negative,agenda_item_title,main_speaker,main_speaker_party
338.84,7.680000000000039,322.5999999999999,8.56,0.02266556486837457,0.9520717742887497,0.025262660842875696,Angehörigen-Entlastungsgesetz,Wilfried Oellers,CDU
348.2,10.159999999999984,296.74000000000007,41.299999999999926,0.02917863296955768,0.8522113727742678,0.1186099942561744,Bildung und Forschung,Nadine Schön,CDU
264.2,0.47999999999996135,238.04,25.680000000000028,0.001816805450416205,0.9009841029523089,0.0971990915972749,Angehörigen-Entlastungsgesetz - Sozialhilfe,Jens Beeck,FDP
329.46,21.820000000000018,298.59999999999997,9.04,0.0662295878103564,0.9063315728768288,0.02743883931281491,Teilhabestärkungsgesetz,Wilfried Oellers,CDU
413.0,2.240000000000009,393.6,17.16,0.005423728813559344,0.9530266343825666,0.04154963680387409,Angehörigen-Entlastungsgesetz - Sozialhilfe,Wilfried Oellers,CDU
266.64,55.400000000000006,200.39999999999998,10.84,0.2077707770777078,0.7515751575157515,0.04065406540654066,Teilhabe von Menschen mit Behinderungen,Kerstin Tack,SPD
190.16,14.360000000000007,159.6,16.19999999999999,0.07551535549011362,0.8392932267564156,0.08519141775347071,Öffentlich-rechtlicher Rundfunk,Christoph Bernstiel,CDU
304.0,7.000000000000026,270.25999999999993,26.739999999999988,0.02302631578947377,0.8890131578947367,0.08796052631578943,Arbeit im Wandel,Jens Beeck,FDP
266.16,6.840000000000012,236.64000000000001,22.679999999999996,0.025698827772768305,0.8890892696122633,0.08521190261496842,Angehörigen-Entlastungsgesetz,Peter Aumer,CSU
344.44000000000005,6.719999999999985,289.46000000000004,48.26000000000003,0.019509929160376215,0.8403785855301359,0.14011148530948794,Inklusive Arbeitswelt,Hubert Hüppe,CDU
264.76,1.799999999999999,231.92,31.04,0.0067986100619428875,0.8759631364254419,0.1172382535126152,Digitales und Verkehr,Nadine Schön,CDU
340.54,0,318.38,22.160000000000018,0.0,0.9349268808363187,0.06507311916368126,"Aktuelle Stunde zu politischen Konsequenzen für BM 
Scheuer",Wolfgang Wiehle,CSU
302.96,9.63999999999998,279.48,13.839999999999982,0.03181938209664636,0.9224980195405336,0.04568259836282012,Arbeitsplätze für schwerbehinderte Menschen,Wilfried Oellers,CDU
0,0,0,0,0,0,0,EU-Budget,unknown,unknown
285.84,3.840000000000032,271.68,10.319999999999972,0.013434089000839743,0.950461796809404,0.03610411418975641,Arbeitsplätze für schwerbehinderte Menschen,Uwe Schummer,CDU
323.12,27.12000000000004,272.79999999999995,23.19999999999998,0.0839316662540234,0.8442683832631838,0.07179995048279271,Teilhabe und Inklusion,Wilfried Oellers,CDU
288.98,15.180000000000007,225.76,48.04000000000002,0.052529586822617505,0.78123053498512,0.1662398781922625,Globale Klimagerechtigkeit,Rainer Kraft,AfD
0,0,0,0,0,0,0,Entlastung bei den Sozialabgaben,unknown,unknown
0,0,0,0,0,0,0,Einsatz deutscher Steuergelder im EU-Budget,unknown,unknown
256.52,6.339999999999961,223.35999999999999,26.82000000000002,0.024715421799469676,0.8707313269920474,0.10455325120848286,Klima- und Energiepolitik,Lukas Köhler,FDP
